Norms	Standing	Data
College	Above	52
College	Above	48
College	Above	43
College	Above	50
College	Above	43
College	Above	44
College	Above	46
College	Above	46
College	Above	43
College	Above	49
College	Average	28
College	Average	35
College	Average	34
College	Average	32
College	Average	34
College	Average	27
College	Average	31
College	Average	27
College	Average	29
College	Average	25
College	Below	15
College	Below	14
College	Below	23
College	Below	21
College	Below	14
College	Below	20
College	Below	21
College	Below	16
College	Below	20
College	Below	14
Athlete	Above	38
Athlete	Above	42
Athlete	Above	42
Athlete	Above	35
Athlete	Above	33
Athlete	Above	38
Athlete	Above	39
Athlete	Above	34
Athlete	Above	33
Athlete	Above	34
Athlete	Average	43
Athlete	Average	34
Athlete	Average	33
Athlete	Average	42
Athlete	Average	41
Athlete	Average	37
Athlete	Average	37
Athlete	Average	40
Athlete	Average	36
Athlete	Average	35
Athlete	Below	23
Athlete	Below	25
Athlete	Below	18
Athlete	Below	26
Athlete	Below	18
Athlete	Below	26
Athlete	Below	20
Athlete	Below	19
Athlete	Below	22
Athlete	Below	17
